Bulan/Tahun,Provinsi Jawa Batat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,,Kabupaten Sukabumi,,Kabupaten Cianjur,,Kabupaten Bandung,,Kabupaten Garut,,Kabupaten Tasikmalaya,,Kabupaten Ciamis,,Kabupaten Kuningan,,Kabupaten Cirebon,,Kabupaten Majalengka,,Kabupaten Sumedang,,Kabupaten Indramayu,,Kabupaten Subang,,Kabupaten Purwakarta,,Kabupaten Karawang,,Kabupaten Bekasi,,Kabupaten Bandung Barat,,Kabupaten Pangandaran,,Kota Bogor,,Kota Sukabumi,,Kota Bandung,,Kota Cirebon,,Kota Bekasi,,Kota Depok,,Kota Cimahi,,Kota Tasikmalaya,,Kota Banjar,
,Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton),Konsumsi (ton),Produksi (ton)
Oct-10,41213.52,29422.17,20864.41,44008.64,19346.09,25068.56,33399.06,25068.56,21429.79,48828.91,14931.38,46475.97,10047.50,39581.04,9058.28,20473.32,18084.42,27872.16,10202.34,31706.57,9745.42,24753.26,14553.17,74179.62,12820.82,50226.40,7601.03,13044.17,18969.13,60830.37,23504.87,32220.14,13465.47,14598.87,3357.51,8831.57,8475.90,454.93,2663.00,1183.98,21339.26,446.52,2593.93,234.81,20843.90,311.69,15531.51,263.64,4825.96,207.83,5661.82,4827.81,1561.51,2614.99
Nov-10,42587.30,26316.18,20191.36,39362.81,18722.02,22422.17,25610.97,22422.17,20738.50,43674.23,14449.73,41569.68,9723.39,35402.62,8766.08,18312.03,17501.05,24929.80,9873.23,28359.43,9431.05,22140.15,14083.71,66348.76,12407.24,44924.19,7355.84,11667.14,18357.23,54408.74,22746.65,28818.79,13031.10,13057.72,3249.21,7899.26,8202.48,406.90,2577.10,1058.99,20650.89,399.38,2510.25,210.02,20171.51,278.79,15030.50,235.81,4670.29,185.89,5479.18,4318.16,1511.14,2338.94
Dec-10,42379.15,25130.26,20864.41,37588.95,19346.09,21411.72,26151.99,21411.72,21429.79,41706.08,14931.38,39696.37,10047.50,33807.22,9058.28,17486.81,18084.42,23806.36,10202.34,27081.43,9745.42,21142.42,14553.17,63358.79,12820.82,42899.71,7601.03,11141.37,18969.13,51956.84,23504.87,27520.09,13465.47,12469.28,3357.51,7543.28,8475.90,388.56,2663.00,1011.27,21339.26,381.38,2593.93,200.56,20843.90,266.23,15531.51,225.18,4825.96,177.51,5661.82,4123.56,1561.51,2233.54
Jan-11,39503.69,15753.98,21024.33,22917.47,19471.79,14700.38,26686.21,14700.38,21678.42,28709.50,15035.84,25604.26,10105.06,21677.05,9114.00,12153.69,18227.91,16553.34,10252.37,18570.45,9820.66,14567.03,14633.63,44790.39,12959.66,33549.03,7719.69,6894.15,19217.76,35953.32,24498.33,18193.66,13669.32,7055.39,3377.07,5119.26,8641.46,289.91,2695.65,771.76,21490.39,179.41,2618.48,121.61,21471.80,145.07,16129.29,157.79,4902.66,103.69,5700.02,2459.40,1571.07,1342.43
Feb-11,43736.23,38080.81,18989.72,55396.53,17587.42,35534.04,27211.92,35534.04,19580.50,69397.13,13580.76,61891.08,9127.15,52398.18,8232.00,29378.12,16463.91,40013.04,9260.21,44888.84,8870.27,35211.69,13217.47,108268.16,11705.50,81095.34,6972.62,16664.67,17357.98,86907.03,22127.52,43978.04,12346.48,17054.43,3050.26,12374.38,7805.19,700.77,2434.78,1865.51,19410.67,433.67,2365.08,293.96,19393.88,350.65,14568.39,381.41,4428.21,250.65,5148.41,5944.90,1419.03,3244.95
Mar-11,42325.39,77152.77,21024.33,112234.88,19471.79,71992.93,27730.66,71992.93,21678.42,140600.49,15035.84,125393.03,10105.06,106160.14,9114.00,59520.88,18227.91,81067.52,10252.37,90946.02,9820.66,71339.85,14633.63,219354.26,12959.66,164301.38,7719.69,33763.09,19217.76,176076.03,24498.33,89100.72,13669.32,34552.73,3377.07,25070.82,8641.46,1419.78,2695.65,3779.58,21490.39,878.63,2618.48,595.57,21471.80,710.43,16129.29,772.75,4902.66,507.83,5700.02,12044.53,1571.07,6574.35
Apr-11,43736.23,62389.93,20346.12,90759.24,18843.67,58217.41,28239.83,58217.41,20979.11,113697.22,14550.81,101399.64,9779.09,85846.88,8820.00,48131.82,17639.91,65555.62,9921.65,73543.91,9503.86,57689.29,14161.57,177381.80,12541.60,132863.05,7470.67,27302.67,18597.84,142384.67,23708.06,72051.70,13228.37,27941.22,3268.13,20273.63,8362.70,1148.11,2608.69,3056.37,20797.15,710.50,2534.01,481.61,20779.16,574.50,15608.99,624.89,4744.51,410.66,5516.15,9739.86,1520.39,5316.38
May-11,42325.39,43297.36,21024.33,62985.09,19471.79,40401.71,28739.32,40401.71,21678.42,78903.59,15035.84,70369.32,10105.06,59576.01,9114.00,33402.52,18227.91,45494.28,10252.37,51038.00,9820.66,40035.21,14633.63,123099.41,12959.66,92204.29,7719.69,18947.51,19217.76,98812.10,24498.33,50002.43,13669.32,19390.65,3377.07,14069.50,8641.46,796.77,2695.65,2121.06,21490.39,493.08,2618.48,334.23,21471.80,398.69,16129.29,433.66,4902.66,284.99,5700.02,6759.27,1571.07,3689.46
Jun-11,43736.23,43610.35,20346.12,63440.40,18843.67,40693.77,29226.57,40693.77,20979.11,79473.98,14550.81,70878.01,9779.09,60006.68,8820.00,33643.98,17639.91,45823.16,9921.65,51406.95,9503.86,40324.62,14161.57,123989.29,12541.60,92870.83,7470.67,19084.48,18597.84,99526.41,23708.06,50363.90,13228.37,19530.82,3268.13,14171.20,8362.70,802.53,2608.69,2136.40,20797.15,496.64,2534.01,336.64,20779.16,401.57,15608.99,436.79,4744.51,287.05,5516.15,6808.13,1520.39,3716.13
Jul-11,43736.23,53260.97,21024.33,77479.25,19471.79,49698.98,29703.53,49698.98,21678.42,97060.92,15035.84,86562.74,10105.06,73285.67,9114.00,41089.12,18227.91,55963.45,10252.37,62782.89,9820.66,49248.13,14633.63,151427.11,12959.66,113422.39,7719.69,23307.71,19217.76,121550.79,24498.33,61509.02,13669.32,23852.83,3377.07,17307.17,8641.46,980.12,2695.65,2609.16,21490.39,606.54,2618.48,411.14,21471.80,490.44,16129.29,533.45,4902.66,350.57,5700.02,8314.71,1571.07,4538.48
