,Kabupaten Bogor,,,Kabupaten Sukabumi,,,Kabupaten Cianjur,,,Kabupaten Bandung,,,Kabupaten Garut,,,Kabupaten Tasikmalaya,,,Kabupaten Ciamis,,,Kabupaten Kuningan,,,Kabupaten Cirebon,,,Kabupaten Majalengka,,,Kabupaten Sumedang,,,Kabupaten Indramayu,,,Kabupaten Subang,,,Kabupaten Purwakarta,,,Kabupaten Karawang,,,Kabupaten Bekasi,,,Kabupaten Bandung Barat,,,Kabupaten Pangandaran,,,Kota Bogor,,,Kota Sukabumi,,,Kota Bandung,,,Kota Cirebon,,,Kota Bekasi,,,Kota Depok,,,Kota Cimahi,,,Kota Tasikmalaya,,,Kota Banjar,,
,Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton),Konsumsi beras (ton),Produksi beras (ton),Produksi padi (ton)
17-Oct,48928.48,17898.44,28527.96,21705.56,27814.54,44333.02,19963.55,16843.39,26846.33,30127.49,16843.39,26846.33,22902.89,30780.34,49060.16,15458.14,28080.43,44756.82,10456.73,19664.92,31343.52,9450.14,12964.5,20663.85,19105.3,19066.66,30389.96,10560.62,22650.51,36102.18,10142.26,16186.87,25799.93,15127.94,51795.8,82556.26,13823.17,37312.68,59471.92,8345.49,7538.62,12015.66,20493.47,42484.4,67715.02,30963.93,19540.39,31145.03,14743.25,8412.35,13408.27,3495.35,6329.27,10088.09,9563.45,165.55,263.87,2864.48,781.84,1246.16,22098.71,362.93,578.47,2771.92,94.52,150.65,25298.52,138.23,220.32,19945.18,96.95,154.53,5317.79,95.73,152.58,5851.3,2533.4,4037.93,1613.55,1446.09,2304.89
17-Nov,50559.43,16008.97,25516.37,21005.38,24878.26,39652.95,19319.56,15065.29,24012.26,30701.8,15065.29,24012.26,22164.09,27530.98,43881.06,14959.49,25116.08,40032.01,10119.41,17588.97,28034.7,9145.3,11595.89,18482.44,18489,17053.86,27181.8,10219.96,20259.38,32291.01,9815.09,14478.09,23076.32,14639.94,46327.91,73841.11,13377.26,33373.73,53193.7,8076.29,6742.8,10747.21,19832.39,37999.49,60566.6,29965.1,17477.59,27857.17,14267.66,7524.29,11992.81,3382.59,5661.11,9023.13,9254.95,148.07,236.01,2772.08,699.3,1114.6,21385.85,324.62,517.4,2682.5,84.54,134.75,24482.44,123.64,197.06,19301.79,86.72,138.22,5146.25,85.62,136.47,5662.54,2265.96,3611.66,1561.5,1293.43,2061.57
17-Dec,50312.31,15287.54,24366.49,21705.56,23757.14,37866.02,19963.55,14386.39,22930.16,31265.53,14386.39,22930.16,22902.89,26290.31,41903.59,15458.14,23984.24,38227.99,10456.73,16796.34,26771.34,9450.14,11073.32,17649.54,19105.3,16285.34,25956.87,10560.62,19346.41,30835.84,10142.26,13825.64,22036.4,15127.94,44240.17,70513.5,13823.17,31869.76,50796.56,8345.49,6438.94,10262.89,20493.47,36287.06,57837.2,30963.93,16689.97,26601.8,14743.25,7185.21,11452.36,3495.35,5406,8616.5,9563.45,141.4,225.38,2864.48,667.79,1064.38,22098.71,309.99,494.08,2771.92,80.73,128.67,25298.52,118.07,188.18,19945.18,82.81,131.99,5317.79,81.76,130.32,5851.3,2163.84,3448.9,1613.55,1235.14,1968.67
18-Jan,46672.59,7035.85,11214.29,21769.21,10070.4,16051.01,19999.21,5168.9,8238.61,31818.53,5168.9,8238.61,23058.24,8937.79,14245.75,15493.32,10093.78,16088.27,10515.54,6119,9752.94,9505.84,6781.49,10808.88,19252.48,10848.46,17291.14,10609.94,11080.69,17661.29,10172.97,6579.61,10487.1,15209.27,27642.31,44058.51,13969.22,19680.34,31368.09,8434.64,3627.51,5781.81,20666.16,22330.4,35591.97,32121.84,10465.78,16681.19,14895.42,3516.04,5604.14,3513.83,4101,6536.51,9703.4,2.24,3.58,2886.55,283.23,451.43,22149.75,154.74,246.64,2798.03,27.47,43.78,25937.85,27.31,43.52,20615.94,7.15,11.4,5377.17,13.76,21.94,5862.96,919.02,1464.8,1617.36,612.45,976.17
18-Feb,51673.22,17007.18,27107.4,19662.51,24342.37,38798.8,18063.8,12494.37,19914.52,32357.99,12494.37,19914.52,20826.8,21604.58,34435.1,13993.97,24398.92,38888.93,9497.91,14790.95,23575,8585.92,16392.35,26127.44,17389.33,26223.1,41796.46,9583.17,26784.45,42691.19,9188.48,15904.35,25349.62,13737.4,66817.5,106499.05,12617.36,47571.68,75823.52,7618.39,8768.47,13975.89,18666.21,53977.46,86033.57,29013.27,25298.07,40322.08,13453.93,8499.03,13546.43,3173.78,9913.02,15800.17,8764.36,5.42,8.65,2607.2,684.63,1091.21,20006.23,374.04,596.18,2527.26,66.39,105.82,23427.73,66,105.2,18620.85,17.28,27.54,4856.8,33.27,53.02,5295.58,2221.46,3540.74,1460.84,1480.43,2359.63
18-Mar,50006.34,34457.02,54920.33,21769.21,49318.3,78607.43,19999.21,25313.93,40347.36,32886.06,25313.93,40347.36,23058.24,43771.47,69766.45,15493.32,49432.97,78790.19,10515.54,29966.88,47763.59,9505.84,33211.36,52934.9,19252.48,53128.72,84680.77,10609.94,54266.03,86493.52,10172.97,32222.65,51359.02,15209.27,135374.09,215769.99,13969.22,96381.52,153620.53,8434.64,17765.17,28315.54,20666.16,109359.82,174306.37,32121.84,51254.58,81693.63,14895.42,17219.27,27445.44,3513.83,20084.06,32011.57,9703.4,10.99,17.52,2886.55,1387.07,2210.83,22149.75,757.82,1207.88,2798.03,134.51,214.39,25937.85,133.73,213.15,20615.94,35.01,55.81,5377.17,67.4,107.43,5862.96,4500.74,7173.64,1617.36,2999.39,4780.67
18-Apr,51673.22,27863.82,44411.58,21066.98,39881.47,63566.25,19354.07,20470.22,32627.07,33399.06,20470.22,32627.07,22314.42,35396,56416.95,14993.54,39974.27,63714.17,10176.33,24232.85,38624.24,9199.2,26856.51,42806.04,18631.43,42962.78,68477.49,10267.69,43882.47,69943.37,9844.81,26056.99,41531.7,14718.65,109470.87,174483.38,13518.6,77939.35,124225.93,8162.56,14365.88,22897.49,19999.51,88434.31,140953.63,31085.65,41447.25,66061.92,14414.92,13924.44,22193.88,3400.48,16241.06,25886.3,9390.38,8.89,14.16,2793.43,1121.66,1787.79,21435.25,612.82,976.76,2707.77,108.77,173.36,25101.14,108.14,172.36,19950.91,28.31,45.13,5203.71,54.5,86.87,5673.84,3639.54,5800.99,1565.19,2425.47,3865.91
18-May,50006.34,19336.93,30820.74,21769.21,27676.94,44113.7,19999.21,14205.92,22642.53,27440.32,14205.92,22642.53,23058.24,24564.11,39152.23,15493.32,27741.4,44216.44,10515.54,16817.11,26804.45,9505.84,18637.88,29706.54,19252.48,29815.3,47522,10609.94,30453.56,48539.3,10172.97,18083.03,28822.17,15209.27,75970.59,121087.96,13969.22,54088.34,86210.3,8434.64,9969.64,15890.4,20666.16,61371.64,97818.99,32121.84,28763.56,45845.65,14895.42,9663.28,15402.11,3513.83,11270.97,17964.57,9703.4,6.17,9.83,2886.55,778.41,1240.69,22149.75,425.28,677.85,2798.03,75.48,120.31,25937.85,75.05,119.62,20615.94,19.65,31.32,5377.17,37.82,60.29,5862.96,2525.77,4025.77,1617.36,1683.23,2682.86
18-Jun,51673.22,19476.72,31043.54,21066.98,27877.01,44432.6,19354.07,14308.62,22806.21,28019.99,14308.62,22806.21,22314.42,24741.68,39435.26,14993.54,27941.99,44536.17,10176.33,16938.68,26998.22,9199.2,18772.61,29921.28,18631.43,30030.84,47865.53,10267.69,30673.7,48890.18,9844.81,18213.75,29030.52,14718.65,76519.77,121963.3,13518.6,54479.34,86833.51,8162.56,10041.71,16005.27,19999.51,61815.29,98526.12,31085.65,28971.49,46177.06,14414.92,9733.14,15513.45,3400.48,11352.45,18094.44,9390.38,6.21,9.9,2793.43,784.04,1249.66,21435.25,428.36,682.75,2707.77,76.03,121.18,25101.14,75.59,120.48,19950.91,19.79,31.54,5203.71,38.1,60.72,5673.84,2544.03,4054.88,1565.19,1695.4,2702.26
18-Jul,51673.22,23786.76,37913.23,21769.21,34045.97,54265.17,19999.21,17475,27853.04,28592.37,17475,27853.04,23058.24,30216.82,48161.96,15493.32,34125.39,54391.77,10515.54,20687.07,32972.7,9505.84,22926.84,36542.62,19252.48,36676.42,58457.79,10609.94,37461.54,59709.18,10172.97,22244.3,35454.74,15209.27,93452.98,148952.78,13969.22,66535.18,106049.06,8434.64,12263.85,19547.1,20666.16,75494.51,120329.15,32121.84,35382.64,56395.67,14895.42,11887,18946.45,3513.83,13864.65,22098.59,9703.4,7.59,12.09,2886.55,957.54,1526.2,22149.75,523.15,833.84,2798.03,92.85,148,25937.85,92.32,147.14,20615.94,24.17,38.52,5377.17,46.53,74.16,5862.96,3107,4952.19,1617.36,2070.57,3300.25
