Bulan/Tahun,Provinsi Jawa Barat,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kabupaten Bogor,Kabupaten Sukabumi,Kabupaten Cianjur,Kabupaten Bandung,Kabupaten Garut,Kabupaten Tasikmalaya,Kabupaten Ciamis,Kabupaten Kuningan,Kabupaten Cirebon,Kabupaten Majalengka,Kabupaten Sumedang,Kabupaten Indramayu,Kabupaten Subang,Kabupaten Purwakarta,Kabupaten Karawang,Kabupaten Bekasi,Kabupaten Bandung Barat,Kabupaten Pangandaran,Kota Bogor,Kota Sukabumi,Kota Bandung,Kota Cirebon,Kota Bekasi,Kota Depok,Kota Cimahi,Kota Tasikmalaya,Kota Banjar
,Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton),Surplus dan Deficits (ton)
18-May,-30669.41,5907.73,-5793.28,-13234.4,1505.87,12248.07,6301.57,9132.04,10562.83,19843.61,7910.06,60761.32,40119.12,1534.99,40705.48,-3358.28,-5232.14,7757.15,-9697.23,-2108.13,-21724.47,-2722.55,-25862.8,-20596.29,-5339.35,-3337.19,65.87
18-Jun,-32196.5,6810.04,-5045.45,-13711.37,2427.26,12948.45,6762.35,9573.41,11399.41,20406.01,8368.94,61801.12,40960.74,1879.15,41815.78,-2114.16,-4681.79,7951.97,-9384.17,-2009.39,-21006.89,-2631.74,-25025.55,-19931.12,-5165.62,-3129.81,130.21
18-Jul,-27886.46,12276.76,-2524.21,-11117.37,7158.58,18632.07,10171.53,13421,17423.94,26851.6,12071.34,78243.71,52565.95,3829.21,54828.35,3260.81,-3008.42,10350.83,-9695.81,-1929.01,-21626.6,-2705.18,-25845.53,-20591.77,-5330.64,-2755.96,453.21
18-Aug,-29457.94,7641.71,-4903.27,-14059.7,3044.83,13986.26,7355.18,10299.72,12430.77,21751.55,9042.97,65520.92,43507.79,2159.6,44550.45,-1556.22,-4626.73,8463.28,-9696.84,-2059.37,-21697.83,-2717.82,-25858.1,-20595.06,-5336.98,-3178.95,171.32
18-Sep,-32266.39,6710,-5096.8,-15454.15,2338.47,12848.35,6701.57,9506.05,11291.64,20295.94,8303.58,61526.53,40765.24,1843.11,41593.95,-2218.12,-4716.71,7911.23,-9384.19,-2012.21,-21008.43,-2632.02,-25025.83,-19931.19,-5165.75,-3138.94,124.13
18-Oct,-37868.34,-4396.1,-11081.99,-21339.75,-7639.08,1920.42,40.74,2193.36,-537.09,8506.08,1177.95,32478.29,19982.61,-2176.6,17857.48,-14066.64,-8829.67,3561.09,-9699.52,-2397.93,-21882.8,-2750.65,-25890.74,-20603.61,-5353.43,-4277.51,-560.78
18-Nov,-40816.58,-5527.88,-11378.22,-22816.27,-8523.01,581.94,-734.43,1264.96,-1891.75,6830.33,307.83,27934.72,16849.07,-2565.15,14457.34,-14936.47,-8989.51,2927.56,-9386.92,-2356.39,-21196.47,-2665.39,-25059.01,-19939.88,-5182.48,-4255.75,-620.15
18-Dec,-41053.27,-6930.37,-12382.78,-23697.76,-9888.32,-619.72,-1499.14,486.76,-3267.16,5717.57,-477.85,25521.95,15029.95,-3089.48,12237.91,-16700.41,-9714.5,2529.04,-9700.09,-2469.2,-21921.74,-2757.56,-25897.61,-20605.41,-5356.89,-4508.79,-714.91
19-Jan,-41553.63,-12509.37,-13185.14,-24989.46,-14275.48,-6755.76,-5077.79,-5193.58,-9419.49,698.8,-4184.33,12043.14,4607.78,-5662.38,1374.11,-22382.97,-11881.25,-65.05,-9832.29,-2607.82,-22041.42,-2803.22,-26514.57,-21283.43,-5426.54,-5134.38,-1049.09
19-Feb,-37996.25,2795.26,-1559.88,-15798.16,617.71,7164.57,3734,1922.23,6602.69,17829.33,5320.77,52261.96,32512.44,-790.26,34849.77,-3691.19,-5951.25,5190.74,-8871.63,-1901.35,-19688.38,-2499.15,-23857.09,-19209.76,-4889.17,-3523.79,-83.32
